utc_timestamp,forecast_load_mw
2020-01-06 08:00:00+00:00,65679.47
2020-01-06 09:00:00+00:00,66195.56
2020-01-06 10:00:00+00:00,67120.06
2020-01-06 11:00:00+00:00,66988.02
2020-01-06 12:00:00+00:00,66752.18
2020-01-06 13:00:00+00:00,65955.32
2020-01-06 14:00:00+00:00,65655.19
2020-01-06 15:00:00+00:00,66113.66
2020-01-06 16:00:00+00:00,67692.30
2020-01-06 17:00:00+00:00,68178.13
2020-01-06 18:00:00+00:00,67369.96
2020-01-06 19:00:00+00:00,64021.55
2020-01-06 20:00:00+00:00,61142.78
2020-01-06 21:00:00+00:00,57905.56
2020-01-06 22:00:00+00:00,54675.89
2020-01-06 23:00:00+00:00,52392.95
2020-01-07 00:00:00+00:00,50209.10
2020-01-07 01:00:00+00:00,49048.39
2020-01-07 02:00:00+00:00,49599.92
2020-01-07 03:00:00+00:00,50560.87
2020-01-07 04:00:00+00:00,53791.13
2020-01-07 05:00:00+00:00,60192.92
2020-01-07 06:00:00+00:00,66849.12
2020-01-07 07:00:00+00:00,70214.07
2020-01-07 08:00:00+00:00,70732.99
2020-01-07 09:00:00+00:00,71330.76
2020-01-07 10:00:00+00:00,71774.16
2020-01-07 11:00:00+00:00,71713.99
2020-01-07 12:00:00+00:00,71376.20
2020-01-07 13:00:00+00:00,70999.89
2020-01-07 14:00:00+00:00,70672.94
2020-01-07 15:00:00+00:00,70840.02
2020-01-07 16:00:00+00:00,72659.51
2020-01-07 17:00:00+00:00,72604.66
2020-01-07 18:00:00+00:00,71242.22
2020-01-07 19:00:00+00:00,67300.14
2020-01-07 20:00:00+00:00,62626.93
2020-01-07 21:00:00+00:00,60464.91
2020-01-07 22:00:00+00:00,57194.18
2020-01-07 23:00:00+00:00,54222.47
