utc_timestamp,actual_mw,forecast_mw,previous_week_mw,previous_52_weeks_mw,error_mw,absolute_error_mw,absolute_percentage_error
2020-01-02 12:00:00+00:00,60272.0,65334.89695043943,47162.0,66551.0,5062.896950439434,5062.896950439434,8.400081215887035
2020-01-02 13:00:00+00:00,59483.0,64049.99907166546,45890.0,65506.0,4566.999071665457,4566.999071665457,7.677822355404834
2020-01-02 14:00:00+00:00,59173.0,63159.553589724404,45970.0,64853.0,3986.5535897244044,3986.5535897244044,6.737115896987485
2020-01-02 15:00:00+00:00,60091.0,64626.11506207773,47567.0,65985.0,4535.1150620777335,4535.1150620777335,7.547078700766726
2020-01-02 16:00:00+00:00,62599.0,67226.09855203867,49325.0,69210.0,4627.098552038675,4627.098552038675,7.391649310753646
2020-01-02 17:00:00+00:00,62923.0,66979.83952548935,49152.0,69159.0,4056.839525489355,4056.839525489355,6.447307861178512
2020-01-02 18:00:00+00:00,61932.0,65803.43896039235,48165.0,67078.0,3871.4389603923482,3871.4389603923482,6.2511124465419305
2020-01-02 19:00:00+00:00,58422.0,62408.88739197577,46401.0,63478.0,3986.887391975768,3986.887391975768,6.824291177939419
2020-01-02 20:00:00+00:00,55661.0,59961.66087350231,46178.0,60663.0,4300.660873502311,4300.660873502311,7.726524628559155
2020-01-02 21:00:00+00:00,54103.0,57906.835734967506,45993.0,58350.0,3803.835734967506,3803.835734967506,7.0307297838705916
2020-01-02 22:00:00+00:00,50732.0,52700.705804861915,42662.0,55087.0,1968.7058048619147,1968.7058048619147,3.8805996311241713
2020-01-02 23:00:00+00:00,47641.0,49630.7801754339,39888.0,51718.0,1989.7801754339016,1989.7801754339016,4.176612949841316
2020-01-03 00:00:00+00:00,46071.0,48723.53826012499,38475.0,49157.0,2652.5382601249876,2652.5382601249876,5.757500944466123
2020-01-03 01:00:00+00:00,45485.0,47729.9071945515,37791.0,48594.0,2244.9071945515025,2244.9071945515025,4.935489050349571
2020-01-03 02:00:00+00:00,45301.0,47828.71337046245,37799.0,48643.0,2527.7133704624503,2527.7133704624503,5.579818040357719
2020-01-03 03:00:00+00:00,46070.0,49102.90934927348,38745.0,49409.0,3032.909349273483,3032.909349273483,6.583263184878408
2020-01-03 04:00:00+00:00,47894.0,50074.231543168986,39944.0,51452.0,2180.231543168986,2180.231543168986,4.552201827304017
2020-01-03 05:00:00+00:00,51787.0,55623.192043808674,42398.0,56643.0,3836.1920438086745,3836.1920438086745,7.407635205377169
2020-01-03 06:00:00+00:00,55935.0,61510.885329820274,46574.0,62401.0,5575.885329820274,5575.885329820274,9.968508679396217
2020-01-03 07:00:00+00:00,59496.0,64669.697457350325,50036.0,65584.0,5173.697457350325,5173.697457350325,8.695874440887328
2020-01-03 08:00:00+00:00,60888.0,66844.76013620023,52587.0,67404.0,5956.7601362002315,5956.7601362002315,9.783143043292982
2020-01-03 09:00:00+00:00,61751.0,67724.08661010892,54000.0,68173.0,5973.08661010892,5973.08661010892,9.672858107737396
2020-01-03 10:00:00+00:00,63204.0,68403.21730816965,54759.0,68997.0,5199.217308169653,5199.217308169653,8.226089026279434
2020-01-03 11:00:00+00:00,63230.0,68838.25940889248,55273.0,69469.0,5608.259408892482,5608.259408892482,8.869617916957901
2020-01-03 12:00:00+00:00,61575.0,67999.35743485359,54667.0,68587.0,6424.357434853591,6424.357434853591,10.433386008694423
2020-01-03 13:00:00+00:00,60449.0,66238.50874588611,53887.0,67122.0,5789.508745886109,5789.508745886109,9.577509546702357
2020-01-03 14:00:00+00:00,59983.0,65809.1277970466,53753.0,66818.0,5826.1277970466035,5826.1277970466035,9.712965001828191
2020-01-03 15:00:00+00:00,60757.0,67317.00857440579,55131.0,68104.0,6560.008574405787,6560.008574405787,10.797123910670026
2020-01-03 16:00:00+00:00,62491.0,69153.44344608599,57337.0,69801.0,6662.443446085992,6662.443446085992,10.661444761783285
2020-01-03 17:00:00+00:00,62157.0,68641.73190913255,56762.0,69105.0,6484.731909132548,6484.731909132548,10.432826405927809
2020-01-03 18:00:00+00:00,60931.0,65848.46878298059,55187.0,66614.0,4917.468782980592,4917.468782980592,8.070553220824525
2020-01-03 19:00:00+00:00,56910.0,61517.657896833676,51828.0,62098.0,4607.657896833676,4607.657896833676,8.096394125520428
2020-01-03 20:00:00+00:00,53806.0,60146.67679787191,49501.0,59305.0,6340.676797871907,6340.676797871907,11.784330368122342
2020-01-03 21:00:00+00:00,52540.0,58396.24588472411,48037.0,57794.0,5856.245884724107,5856.245884724107,11.146261676292552
2020-01-03 22:00:00+00:00,49359.0,52433.66465468274,45266.0,53664.0,3074.6646546827396,3074.6646546827396,6.229187493026074
2020-01-03 23:00:00+00:00,46773.0,48983.37577363567,42462.0,50780.0,2210.375773635671,2210.375773635671,4.725751552467601
2020-01-04 00:00:00+00:00,45003.0,47512.50489349585,40814.0,48786.0,2509.5048934958468,2509.5048934958468,5.576305787382723
2020-01-04 01:00:00+00:00,44345.0,47217.381796069436,40342.0,47649.0,2872.381796069436,2872.381796069436,6.477352116516938
2020-01-04 02:00:00+00:00,43801.0,46289.108992066474,40202.0,47137.0,2488.1089920664745,2488.1089920664745,5.680484445712368
2020-01-04 03:00:00+00:00,44501.0,47141.300723620814,40883.0,47921.0,2640.300723620814,2640.300723620814,5.9331267243900445
2020-01-04 04:00:00+00:00,45049.0,47259.24865330284,41089.0,47767.0,2210.2486533028423,2210.2486533028423,4.906321235327848
