utc_timestamp,actual_mw,forecast_mw,baseline_previous_week_mw,error_mw,absolute_error_mw,absolute_percentage_error_pct
2020-01-03 02:00:00+00:00,45301.0000000000,45994.7521812963,37799.0000000000,693.7521812963,693.7521812963,1.5314279625
2020-01-03 03:00:00+00:00,46070.0000000000,46566.5137515077,38745.0000000000,496.5137515077,496.5137515077,1.0777376851
2020-01-03 04:00:00+00:00,47894.0000000000,48622.0235329086,39944.0000000000,728.0235329086,728.0235329086,1.5200725204
2020-01-03 05:00:00+00:00,51787.0000000000,53812.6135412249,42398.0000000000,2025.6135412249,2025.6135412249,3.9114324854
2020-01-03 06:00:00+00:00,55935.0000000000,59523.9623914738,46574.0000000000,3588.9623914738,3588.9623914738,6.4163089148
2020-01-03 07:00:00+00:00,59496.0000000000,60915.9461365188,50036.0000000000,1419.9461365188,1419.9461365188,2.3866245403
2020-01-03 08:00:00+00:00,60888.0000000000,61956.4103393289,52587.0000000000,1068.4103393289,1068.4103393289,1.7547141298
2020-01-03 09:00:00+00:00,61751.0000000000,63138.8610318979,54000.0000000000,1387.8610318979,1387.8610318979,2.2475118328
2020-01-03 10:00:00+00:00,63204.0000000000,63963.3302637313,54759.0000000000,759.3302637313,759.3302637313,1.2013958986
2020-01-03 11:00:00+00:00,63230.0000000000,63642.5539180959,55273.0000000000,412.5539180959,412.5539180959,0.6524654722
2020-01-03 12:00:00+00:00,61575.0000000000,62064.5198336790,54667.0000000000,489.5198336790,489.5198336790,0.7949976998
2020-01-03 13:00:00+00:00,60449.0000000000,61318.5997673718,53887.0000000000,869.5997673718,869.5997673718,1.4385676643
2020-01-03 14:00:00+00:00,59983.0000000000,61109.3875328057,53753.0000000000,1126.3875328057,1126.3875328057,1.8778446106
2020-01-03 15:00:00+00:00,60757.0000000000,61911.4443459713,55131.0000000000,1154.4443459713,1154.4443459713,1.9001009694
2020-01-03 16:00:00+00:00,62491.0000000000,64659.8202090017,57337.0000000000,2168.8202090017,2168.8202090017,3.4706121025
2020-01-03 17:00:00+00:00,62157.0000000000,64601.2659114341,56762.0000000000,2444.2659114341,2444.2659114341,3.9324065052
2020-01-03 18:00:00+00:00,60931.0000000000,63419.1390746306,55187.0000000000,2488.1390746306,2488.1390746306,4.0835355970
2020-01-03 19:00:00+00:00,56910.0000000000,58954.3150896898,51828.0000000000,2044.3150896898,2044.3150896898,3.5921895795
2020-01-03 20:00:00+00:00,53806.0000000000,55589.1268991802,49501.0000000000,1783.1268991802,1783.1268991802,3.3139926759
2020-01-03 21:00:00+00:00,52540.0000000000,52425.3230202818,48037.0000000000,-114.6769797182,114.6769797182,0.2182660444
2020-01-03 22:00:00+00:00,49359.0000000000,50935.0950726019,45266.0000000000,1576.0950726019,1576.0950726019,3.1931260208
2020-01-03 23:00:00+00:00,46773.0000000000,48270.7717406133,42462.0000000000,1497.7717406133,1497.7717406133,3.2022143985
2020-01-04 00:00:00+00:00,45003.0000000000,46164.9620428639,40814.0000000000,1161.9620428639,1161.9620428639,2.5819657420
2020-01-04 01:00:00+00:00,44345.0000000000,45468.5822296430,40342.0000000000,1123.5822296430,1123.5822296430,2.5337292359
