utc_timestamp,actual_mw,forecast_mw,previous_week_mw,previous_52_weeks_mw,previous_365_days_mw,error_mw,absolute_error_mw,absolute_percentage_error
2020-01-01 12:00:00+00:00,46328.0000000000,48238.2088055832,47742.0000000000,64849.0000000000,48832.0000000000,1910.2088055832,1910.2088055832,4.1232274339
2020-01-01 13:00:00+00:00,45115.0000000000,46917.6873574490,46317.0000000000,63278.0000000000,48595.0000000000,1802.6873574490,1802.6873574490,3.9957605175
2020-01-01 14:00:00+00:00,45039.0000000000,46610.8064420860,45547.0000000000,63354.0000000000,48826.0000000000,1571.8064420860,1571.8064420860,3.4898786431
2020-01-01 15:00:00+00:00,47313.0000000000,46945.8929495809,45486.0000000000,64290.0000000000,50626.0000000000,-367.1070504191,367.1070504191,0.7759115897
2020-01-01 16:00:00+00:00,51194.0000000000,51576.4385675499,47631.0000000000,68262.0000000000,53793.0000000000,382.4385675499,382.4385675499,0.7470378707
2020-01-01 17:00:00+00:00,51755.0000000000,52203.4104125060,48297.0000000000,68159.0000000000,54371.0000000000,448.4104125060,448.4104125060,0.8664098396
2020-01-01 18:00:00+00:00,50732.0000000000,51017.2900181189,47359.0000000000,66061.0000000000,53815.0000000000,285.2900181189,285.2900181189,0.5623472722
2020-01-01 19:00:00+00:00,48591.0000000000,49938.9366206365,45470.0000000000,62543.0000000000,51609.0000000000,1347.9366206365,1347.9366206365,2.7740458534
2020-01-01 20:00:00+00:00,47664.0000000000,47265.6744903292,44323.0000000000,59581.0000000000,49698.0000000000,-398.3255096708,398.3255096708,0.8356946745
2020-01-01 21:00:00+00:00,46994.0000000000,47233.5427249823,43864.0000000000,57599.0000000000,48859.0000000000,239.5427249823,239.5427249823,0.5097304443
2020-01-01 22:00:00+00:00,44105.0000000000,44630.3835029518,42040.0000000000,53280.0000000000,46093.0000000000,525.3835029518,525.3835029518,1.1912107538
2020-01-01 23:00:00+00:00,42547.0000000000,44178.5951319778,38605.0000000000,49918.0000000000,44318.0000000000,1631.5951319778,1631.5951319778,3.8348065245
2020-01-02 00:00:00+00:00,41194.0000000000,41913.4524992942,36909.0000000000,48638.0000000000,42813.0000000000,719.4524992942,719.4524992942,1.7464982747
2020-01-02 01:00:00+00:00,40773.0000000000,41354.2054482032,36332.0000000000,48082.0000000000,42318.0000000000,581.2054482032,581.2054482032,1.4254664808
2020-01-02 02:00:00+00:00,40795.0000000000,41423.1289462469,36001.0000000000,47861.0000000000,41934.0000000000,628.1289462469,628.1289462469,1.5397204222
2020-01-02 03:00:00+00:00,41774.0000000000,41957.1877260298,36971.0000000000,48411.0000000000,43607.0000000000,183.1877260298,183.1877260298,0.4385209126
2020-01-02 04:00:00+00:00,43961.0000000000,44259.0541775775,36983.0000000000,50986.0000000000,46463.0000000000,298.0541775775,298.0541775775,0.6779968098
2020-01-02 05:00:00+00:00,47850.0000000000,50898.7952547096,36841.0000000000,55857.0000000000,52329.0000000000,3048.7952547096,3048.7952547096,6.3715679304
2020-01-02 06:00:00+00:00,52828.0000000000,57789.1517588873,38525.0000000000,60948.0000000000,57736.0000000000,4961.1517588873,4961.1517588873,9.3911406051
2020-01-02 07:00:00+00:00,56329.0000000000,62036.8796381496,41091.0000000000,64162.0000000000,60956.0000000000,5707.8796381496,5707.8796381496,10.1331101886
2020-01-02 08:00:00+00:00,58780.0000000000,63014.2072139569,44267.0000000000,65966.0000000000,62833.0000000000,4234.2072139569,4234.2072139569,7.2034828410
2020-01-02 09:00:00+00:00,59588.0000000000,64193.4820518528,46808.0000000000,66379.0000000000,64259.0000000000,4605.4820518528,4605.4820518528,7.7288750283
2020-01-02 10:00:00+00:00,60169.0000000000,65828.2412730737,48752.0000000000,67625.0000000000,65434.0000000000,5659.2412730737,5659.2412730737,9.4055764149
2020-01-02 11:00:00+00:00,60786.0000000000,65625.2687514677,48859.0000000000,67794.0000000000,65705.0000000000,4839.2687514677,4839.2687514677,7.9611567655
2020-01-02 12:00:00+00:00,60272.0000000000,65815.5366985093,47162.0000000000,66551.0000000000,64849.0000000000,5543.5366985093,5543.5366985093,9.1975323509
2020-01-02 13:00:00+00:00,59483.0000000000,64644.8159463552,45890.0000000000,65506.0000000000,63278.0000000000,5161.8159463552,5161.8159463552,8.6778002898
2020-01-02 14:00:00+00:00,59173.0000000000,64211.1051151053,45970.0000000000,64853.0000000000,63354.0000000000,5038.1051151053,5038.1051151053,8.5141958581
2020-01-02 15:00:00+00:00,60091.0000000000,64518.9915095450,47567.0000000000,65985.0000000000,64290.0000000000,4427.9915095450,4427.9915095450,7.3688098210
2020-01-02 16:00:00+00:00,62599.0000000000,67636.1422108309,49325.0000000000,69210.0000000000,68262.0000000000,5037.1422108309,5037.1422108309,8.0466815937
2020-01-02 17:00:00+00:00,62923.0000000000,67635.3049465206,49152.0000000000,69159.0000000000,68159.0000000000,4712.3049465206,4712.3049465206,7.4890023466
2020-01-02 18:00:00+00:00,61932.0000000000,66866.8219367832,48165.0000000000,67078.0000000000,66061.0000000000,4934.8219367832,4934.8219367832,7.9681294594
2020-01-02 19:00:00+00:00,58422.0000000000,63036.3688242792,46401.0000000000,63478.0000000000,62543.0000000000,4614.3688242792,4614.3688242792,7.8983410775
