utc_timestamp,actual_mw,forecast_mw
2020-01-03 21:00:00+00:00,52540.0,53443.7
2020-01-03 22:00:00+00:00,49359.0,50489.5
2020-01-03 23:00:00+00:00,46773.0,48279.5
2020-01-04 00:00:00+00:00,45003.0,45264.6
2020-01-04 01:00:00+00:00,44345.0,44703.2
2020-01-04 02:00:00+00:00,43801.0,43993.8
2020-01-04 03:00:00+00:00,44501.0,44771.5
2020-01-04 04:00:00+00:00,45049.0,44889.0
2020-01-04 05:00:00+00:00,46138.0,45837.9
2020-01-04 06:00:00+00:00,48876.0,48262.3
2020-01-04 07:00:00+00:00,51876.0,50963.6
2020-01-04 08:00:00+00:00,55337.0,53478.9
2020-01-04 09:00:00+00:00,57584.0,54849.0
2020-01-04 10:00:00+00:00,59443.0,56259.2
2020-01-04 11:00:00+00:00,59873.0,56097.8
2020-01-04 12:00:00+00:00,58499.0,54899.4
2020-01-04 13:00:00+00:00,57624.0,54350.4
2020-01-04 14:00:00+00:00,56651.0,54189.3
2020-01-04 15:00:00+00:00,58144.0,55101.2
2020-01-04 16:00:00+00:00,60436.0,58103.6
2020-01-04 17:00:00+00:00,59971.0,57806.4
2020-01-04 18:00:00+00:00,58093.0,55634.3
2020-01-04 19:00:00+00:00,54603.0,53076.6
2020-01-04 20:00:00+00:00,52028.0,50892.1
2020-01-04 21:00:00+00:00,50722.0,50256.8
2020-01-04 22:00:00+00:00,47994.0,47130.5
2020-01-04 23:00:00+00:00,44880.0,43343.8
2020-01-05 00:00:00+00:00,42638.0,41626.5
2020-01-05 01:00:00+00:00,41865.0,40985.4
2020-01-05 02:00:00+00:00,40752.0,40788.9
2020-01-05 03:00:00+00:00,40754.0,40499.9
2020-01-05 04:00:00+00:00,40409.0,40625.5
2020-01-05 05:00:00+00:00,39751.0,40344.5
2020-01-05 06:00:00+00:00,41953.0,40782.7
2020-01-05 07:00:00+00:00,43752.0,44821.6
2020-01-05 08:00:00+00:00,47044.0,48245.8
2020-01-05 09:00:00+00:00,50397.0,50694.8
2020-01-05 10:00:00+00:00,52744.0,52073.9
2020-01-05 11:00:00+00:00,52825.0,53116.5
2020-01-05 12:00:00+00:00,51568.0,51680.0
2020-01-05 13:00:00+00:00,50470.0,51389.8
2020-01-05 14:00:00+00:00,50177.0,50615.6
2020-01-05 15:00:00+00:00,51651.0,52179.7
2020-01-05 16:00:00+00:00,55601.0,54106.4
2020-01-05 17:00:00+00:00,56412.0,55190.1
2020-01-05 18:00:00+00:00,54808.0,53939.0
2020-01-05 19:00:00+00:00,52478.0,52388.1
2020-01-05 20:00:00+00:00,50972.0,50521.9
2020-01-05 21:00:00+00:00,50438.0,50417.4
2020-01-05 22:00:00+00:00,47398.0,47537.9
2020-01-05 23:00:00+00:00,45225.0,43542.1
2020-01-06 00:00:00+00:00,43646.0,41707.9
2020-01-06 01:00:00+00:00,42812.0,41158.6
2020-01-06 02:00:00+00:00,43212.0,41379.9
2020-01-06 03:00:00+00:00,44464.0,43040.3
2020-01-06 04:00:00+00:00,47111.0,47654.0
2020-01-06 05:00:00+00:00,51821.0,54142.4
2020-01-06 06:00:00+00:00,57075.0,60574.5
2020-01-06 07:00:00+00:00,59509.0,62379.8
2020-01-06 08:00:00+00:00,61130.0,63846.0
2020-01-06 09:00:00+00:00,62336.0,65385.6
2020-01-06 10:00:00+00:00,63191.0,66044.3
2020-01-06 11:00:00+00:00,63404.0,65749.7
2020-01-06 12:00:00+00:00,62372.0,65298.0
2020-01-06 13:00:00+00:00,61577.0,63573.1
2020-01-06 14:00:00+00:00,61264.0,63330.8
2020-01-06 15:00:00+00:00,62276.0,64375.1
2020-01-06 16:00:00+00:00,66018.0,67049.5
2020-01-06 17:00:00+00:00,66215.0,66513.5
2020-01-06 18:00:00+00:00,64831.0,64211.7
2020-01-06 19:00:00+00:00,61350.0,60974.5
2020-01-06 20:00:00+00:00,58821.0,58341.1
2020-01-06 21:00:00+00:00,56577.0,55468.8
2020-01-06 22:00:00+00:00,52904.0,52684.7
2020-01-06 23:00:00+00:00,50708.0,49701.1
2020-01-07 00:00:00+00:00,49617.0,46264.6
2020-01-07 01:00:00+00:00,48105.0,45475.6
2020-01-07 02:00:00+00:00,48553.0,46046.6
2020-01-07 03:00:00+00:00,50054.0,47217.2
2020-01-07 04:00:00+00:00,53241.0,52460.6
2020-01-07 05:00:00+00:00,60420.0,60350.1
2020-01-07 06:00:00+00:00,66527.0,65389.5
2020-01-07 07:00:00+00:00,69198.0,67334.0
2020-01-07 08:00:00+00:00,69408.0,67784.9
2020-01-07 09:00:00+00:00,69896.0,68359.7
2020-01-07 10:00:00+00:00,70089.0,68694.3
2020-01-07 11:00:00+00:00,69367.0,68673.0
2020-01-07 12:00:00+00:00,69465.0,67955.1
2020-01-07 13:00:00+00:00,68854.0,67722.8
2020-01-07 14:00:00+00:00,68089.0,67631.1
2020-01-07 15:00:00+00:00,68574.0,68157.2
2020-01-07 16:00:00+00:00,70914.0,70314.0
2020-01-07 17:00:00+00:00,70678.0,69810.3
2020-01-07 18:00:00+00:00,68990.0,68291.7
2020-01-07 19:00:00+00:00,65235.0,65176.0
2020-01-07 20:00:00+00:00,61997.0,62536.7
2020-01-07 21:00:00+00:00,59030.0,59253.9
2020-01-07 22:00:00+00:00,55343.0,56272.9
2020-01-07 23:00:00+00:00,52694.0,50813.8
