ds,trend,weekly,yearly,daily,holidays
2020-01-05 15:00:00,55076.9873559,-8191.29322559,-625.130074665,4322.1601755,0
2020-01-05 16:00:00,55076.7375402,-7708.01831794,-605.742948549,5103.32549767,0
2020-01-05 17:00:00,55076.4877246,-7200.31848373,-586.290887104,5390.04738089,0
2020-01-05 18:00:00,55076.2379089,-6671.50595382,-566.774481515,4306.78024799,0
2020-01-05 19:00:00,55075.9880932,-6125.01393787,-547.194324622,1744.69236087,0
2020-01-05 20:00:00,55075.7382775,-5564.36503927,-527.551010881,-1633.1332149,0
2020-01-05 21:00:00,55075.4884618,-4993.13895756,-507.845136356,-4958.81437699,0
2020-01-05 22:00:00,55075.2386461,-4414.93982654,-488.077298689,-7744.43755229,0
2020-01-05 23:00:00,55074.9888304,-3833.3635395,-468.248097088,-9963.18669309,0
2020-01-06 00:00:00,55074.7390147,-3251.96541192,-448.358132286,-11635.7514465,0
2020-01-06 01:00:00,55074.4891991,-2674.22852789,-428.40800654,-12426.3717189,0
2020-01-06 02:00:00,55074.2393834,-2103.5331051,-408.398323601,-11725.5231013,0
2020-01-06 03:00:00,55073.9895677,-1543.12720227,-388.329688684,-9183.04964921,0
2020-01-06 04:00:00,55073.739752,-996.099075777,-368.20270846,-5175.83349732,0
2020-01-06 05:00:00,55073.4899363,-465.351470598,-348.017991029,-728.905272577,0
2020-01-06 06:00:00,55073.2401206,46.4218914701,-327.776145884,3076.85248756,0
2020-01-06 07:00:00,55072.9903049,536.757389858,-307.477783915,5694.9421814,0
2020-01-06 08:00:00,55072.7404893,1003.4399438,-287.123517367,7209.48532177,0
2020-01-06 09:00:00,55072.4906736,1444.5186356,-266.713959818,7939.91522209,0
2020-01-06 10:00:00,55072.2408579,1858.31937645,-246.249726169,8019.55396339,0
2020-01-06 11:00:00,55071.9910422,2243.4545086,-225.731432616,7384.4416247,0
2020-01-06 12:00:00,55071.7412265,2598.82927242,-205.159696617,6131.90733947,0
2020-01-06 13:00:00,55071.4914108,2923.64510373,-184.535136887,4784.12876522,0
2020-01-06 14:00:00,55071.2415951,3217.39976448,-163.858373367,4066.77395447,0
2020-01-06 15:00:00,55070.9917794,3479.88434526,-143.130027195,4322.16017551,0
2020-01-06 16:00:00,55070.7419638,3711.17721432,-122.350720699,5103.32549769,0
2020-01-06 17:00:00,55070.4921481,3911.63502296,-101.521077361,5390.0473809,0
2020-01-06 18:00:00,55070.2423324,4081.88091002,-80.6417217959,4306.78024806,0
2020-01-06 19:00:00,55069.9925167,4222.79007857,-59.7132797381,1744.69236082,0
2020-01-06 20:00:00,55069.742701,4335.47294881,-38.736378012,-1633.13321476,0
2020-01-06 21:00:00,55069.4928853,4421.25611546,-17.7116445044,-4958.81437687,0
2020-01-06 22:00:00,55069.2430696,4481.66136223,3.36029184757,-7744.43755219,0
2020-01-06 23:00:00,55068.9932539,4518.38300618,24.4788010839,-9963.18669312,0
2020-01-07 00:00:00,55068.7434383,4533.26386075,45.6432522491,-11635.7514464,0
2020-01-07 01:00:00,55068.4936226,4528.27011995,66.8530134087,-12426.3717189,0
2020-01-07 02:00:00,55068.2438069,4505.46547488,88.1074516723,-11725.5231013,0
2020-01-07 03:00:00,55067.9939912,4466.98477944,109.405933224,-9183.04964916,0
2020-01-07 04:00:00,55067.7441755,4415.00758344,130.747823332,-5175.83349749,0
2020-01-07 05:00:00,55067.4943598,4351.73184872,152.132486387,-728.905272507,0
2020-01-07 06:00:00,55067.2445441,4279.34815779,173.559285916,3076.85248762,0
2020-01-07 07:00:00,55066.9947285,4200.0147143,195.027584601,5694.94218144,0
2020-01-07 08:00:00,55066.7449128,4115.83342098,216.536744312,7209.48532179,0
2020-01-07 09:00:00,55066.4950971,4028.82730364,238.08612613,7939.9152221,0
2020-01-07 10:00:00,55066.2452814,3940.91952947,259.67509036,8019.55396338,0
2020-01-07 11:00:00,55065.9954657,3853.91424502,281.30299656,7384.44162468,0
2020-01-07 12:00:00,55065.74565,3769.47943274,302.96920357,6131.90733944,0
2020-01-07 13:00:00,55065.4958343,3689.13195812,324.673069524,4784.1287652,0
2020-01-07 14:00:00,55065.2460186,3614.22494821,346.413951875,4066.77395445,0
2020-01-07 15:00:00,55064.996203,3545.93761204,368.191207434,4322.16017553,0
2020-01-07 16:00:00,55064.7463873,3485.26758024,390.004192368,5103.32549769,0
2020-01-07 17:00:00,55064.4965716,3433.02580833,411.852262241,5390.0473809,0
2020-01-07 18:00:00,55064.2467559,3389.83405445,433.734772035,4306.78024802,0
2020-01-07 19:00:00,55063.9969402,3356.12490947,455.651076165,1744.69236076,0
2020-01-07 20:00:00,55063.7471245,3332.14432428,477.600528507,-1633.13321482,0
2020-01-07 21:00:00,55063.4973088,3317.95654773,499.582482429,-4958.81437692,0
2020-01-07 22:00:00,55063.2474931,3313.45135841,521.5962908,-7744.43755223,0
2020-01-07 23:00:00,55062.9976775,3318.35344478,543.64130602,-9963.18669304,0
