,actual,forecast,error_MW
2020-01-03 11:00:00+01:00,63204.0,66348.69967585702,3144.6996758570167
2020-01-03 12:00:00+01:00,63230.0,66164.44648914966,2934.446489149661
2020-01-03 13:00:00+01:00,61575.0,65050.256378132115,3475.256378132115
2020-01-03 14:00:00+01:00,60449.0,62928.88458400353,2479.8845840035283
2020-01-03 15:00:00+01:00,59983.0,62597.289102247036,2614.2891022470358
2020-01-03 16:00:00+01:00,60757.0,63779.343408412125,3022.3434084121254
2020-01-03 17:00:00+01:00,62491.0,66230.06709638277,3739.0670963827724
2020-01-03 18:00:00+01:00,62157.0,66119.19743765845,3962.197437658455
2020-01-03 19:00:00+01:00,60931.0,64180.12631550751,3249.1263155075067
2020-01-03 20:00:00+01:00,56910.0,60594.36344678556,3684.363446785559
2020-01-03 21:00:00+01:00,53806.0,57428.348192228485,3622.3481922284845
2020-01-03 22:00:00+01:00,52540.0,55667.391036276356,3127.3910362763563
2020-01-03 23:00:00+01:00,49359.0,52545.63000270545,3186.630002705453
2020-01-04 00:00:00+01:00,46773.0,46861.31989184997,88.31989184996928
2020-01-04 01:00:00+01:00,45003.0,44424.48317786459,-578.5168221354106
2020-01-04 02:00:00+01:00,44345.0,42639.860329340125,-1705.1396706598753
2020-01-04 03:00:00+01:00,43801.0,42156.226043822484,-1644.773956177516
2020-01-04 04:00:00+01:00,44501.0,41935.97504571406,-2565.0249542859383
2020-01-04 05:00:00+01:00,45049.0,42162.04883571557,-2886.95116428443
2020-01-04 06:00:00+01:00,46138.0,41795.17091060396,-4342.829089396037
2020-01-04 07:00:00+01:00,48876.0,44789.156161333645,-4086.8438386663547
2020-01-04 08:00:00+01:00,51876.0,47682.625050455405,-4193.374949544595
2020-01-04 09:00:00+01:00,55337.0,51149.44743396666,-4187.552566033337
2020-01-04 10:00:00+01:00,57584.0,53403.102032205716,-4180.897967794284
2020-01-04 11:00:00+01:00,59443.0,55474.518983156355,-3968.481016843645
2020-01-04 12:00:00+01:00,59873.0,55398.91106545073,-4474.088934549269
2020-01-04 13:00:00+01:00,58499.0,54349.931473764635,-4149.068526235365
2020-01-04 14:00:00+01:00,57624.0,53733.22980307713,-3890.770196922873
2020-01-04 15:00:00+01:00,56651.0,53502.156414646044,-3148.843585353956
2020-01-04 16:00:00+01:00,58144.0,54808.30863409663,-3335.691365903367
2020-01-04 17:00:00+01:00,60436.0,58184.04770073484,-2251.952299265162
2020-01-04 18:00:00+01:00,59971.0,58478.02848432342,-1492.9715156765815
2020-01-04 19:00:00+01:00,58093.0,56569.049476051245,-1523.9505239487553
2020-01-04 20:00:00+01:00,54603.0,52820.30222580141,-1782.6977741985902
2020-01-04 21:00:00+01:00,52028.0,50096.3019277293,-1931.6980722707012
2020-01-04 22:00:00+01:00,50722.0,49561.163966309214,-1160.8360336907863
2020-01-04 23:00:00+01:00,47994.0,46779.92307429249,-1214.076925707508
2020-01-05 00:00:00+01:00,44880.0,46018.284438352086,1138.284438352086
2020-01-05 01:00:00+01:00,42638.0,43707.63264644535,1069.6326464453523
2020-01-05 02:00:00+01:00,41865.0,42438.46058610901,573.4605861090095
2020-01-05 03:00:00+01:00,40752.0,41967.75761141891,1215.757611418907
2020-01-05 04:00:00+01:00,40754.0,41932.933726203075,1178.933726203075
2020-01-05 05:00:00+01:00,40409.0,41573.92742621635,1164.9274262163526
2020-01-05 06:00:00+01:00,39751.0,40723.87426969198,972.8742696919799
2020-01-05 07:00:00+01:00,41953.0,42121.58367930625,168.5836793062481
2020-01-05 08:00:00+01:00,43752.0,45733.29330991299,1981.2933099129878
2020-01-05 09:00:00+01:00,47044.0,49909.85903305147,2865.8590330514708
2020-01-05 10:00:00+01:00,50397.0,53408.20486643331,3011.2048664333124
2020-01-05 11:00:00+01:00,52744.0,56281.60484009942,3537.6048400994187
2020-01-05 12:00:00+01:00,52825.0,56270.56401575427,3445.564015754273
2020-01-05 13:00:00+01:00,51568.0,54704.57635544109,3136.576355441088
2020-01-05 14:00:00+01:00,50470.0,53199.66042796763,2729.660427967632
2020-01-05 15:00:00+01:00,50177.0,52941.22533913687,2764.225339136872
2020-01-05 16:00:00+01:00,51651.0,53934.347549570775,2283.3475495707753
2020-01-05 17:00:00+01:00,55601.0,58351.76045132722,2750.7604513272236
2020-01-05 18:00:00+01:00,56412.0,59401.035468810245,2989.035468810245
2020-01-05 19:00:00+01:00,54808.0,57903.20777488255,3095.207774882547
2020-01-05 20:00:00+01:00,52478.0,54875.80650460565,2397.806504605651
2020-01-05 21:00:00+01:00,50972.0,53162.299483985684,2190.2994839856838
2020-01-05 22:00:00+01:00,50438.0,53177.33687284227,2739.336872842272
2020-01-05 23:00:00+01:00,47398.0,50246.91441643671,2848.91441643671
2020-01-06 00:00:00+01:00,45225.0,43197.5855169491,-2027.414483050903
2020-01-06 01:00:00+01:00,43646.0,41180.83347333067,-2465.166526669331
2020-01-06 02:00:00+01:00,42812.0,40481.44859328341,-2330.551406716593
2020-01-06 03:00:00+01:00,43212.0,40569.77456398373,-2642.2254360162697
2020-01-06 04:00:00+01:00,44464.0,41703.81110373033,-2760.1888962696685
2020-01-06 05:00:00+01:00,47111.0,43535.99427527005,-3575.0057247299483
2020-01-06 06:00:00+01:00,51821.0,49275.809754568116,-2545.1902454318843
2020-01-06 07:00:00+01:00,57075.0,53008.817270749874,-4066.1827292501257
2020-01-06 08:00:00+01:00,59509.0,57459.28583809701,-2049.7141619029935
2020-01-06 09:00:00+01:00,61130.0,58972.68305422966,-2157.3169457703407
2020-01-06 10:00:00+01:00,62336.0,60412.81780249332,-1923.1821975066778
2020-01-06 11:00:00+01:00,63191.0,61841.64838014395,-1349.3516198560465
2020-01-06 12:00:00+01:00,63404.0,61523.02072459984,-1880.979275400161
2020-01-06 13:00:00+01:00,62372.0,60420.94787273935,-1951.0521272606493
2020-01-06 14:00:00+01:00,61577.0,59872.55232511649,-1704.4476748835077
2020-01-06 15:00:00+01:00,61264.0,59577.660056717075,-1686.3399432829247
2020-01-06 16:00:00+01:00,62276.0,60648.66789290257,-1627.332107097427
2020-01-06 17:00:00+01:00,66018.0,63477.94800930684,-2540.0519906931586
2020-01-06 18:00:00+01:00,66215.0,63799.72495148692,-2415.275048513082
2020-01-06 19:00:00+01:00,64831.0,62548.52193685001,-2282.478063149989
2020-01-06 20:00:00+01:00,61350.0,59987.76584407685,-1362.23415592315
2020-01-06 21:00:00+01:00,58821.0,57284.270871145025,-1536.729128854975
2020-01-06 22:00:00+01:00,56577.0,55582.090754013276,-994.9092459867243
2020-01-06 23:00:00+01:00,52904.0,51556.653994389686,-1347.346005610314
