origin,model,MAE (MW),RMSE (MW),MAPE (%),Bias (MW),Max |err| (MW)
2019-05-07 01:00:00+02:00,calendar+lags,1542.704334096317,2009.9262828899878,2.806643088198886,-686.8538792552202,5984.686488824613
2019-05-07 01:00:00+02:00,naive_last_week,3565.8809523809523,6522.412846887116,6.01361934272502,-2412.440476190476,23116.0
2019-05-14 01:00:00+02:00,calendar,1659.9952381732555,2206.181810578453,3.0407216924005205,-1266.2565546092994,6598.948023922312
2019-05-14 01:00:00+02:00,calendar+lags,1149.5969794571085,1402.0743712763656,2.1926568697008637,521.0190644439792,3562.1687527119284
2019-05-14 01:00:00+02:00,naive_last_week,1025.1369047619048,1349.9397274905066,2.0130719444635052,349.8392857142857,3675.0
2019-05-21 01:00:00+02:00,calendar,1478.3073657855548,1799.4181616707394,2.680213957447141,-527.2028350589769,3848.262329094592
2019-05-21 01:00:00+02:00,calendar+lags,1800.2804209206874,2043.4949080089073,3.3579483179658256,1483.7989000835828,4302.029805576916
2019-05-21 01:00:00+02:00,naive_last_week,1090.1488095238096,1342.863192425583,1.9628618084881815,489.125,3619.0
2019-05-28 01:00:00+02:00,calendar,1700.4582378452537,2324.204004951668,3.2746432783331545,907.1994324859807,7538.920065195511
2019-05-28 01:00:00+02:00,calendar+lags,1959.8012103186552,2810.3676175256805,3.8072698278724655,1732.3248393608658,8366.039158547122
2019-05-28 01:00:00+02:00,naive_last_week,3837.2738095238096,6013.525858429479,7.792157819878446,3464.3214285714284,19687.0
2019-06-04 01:00:00+02:00,calendar,1123.6826649993145,1467.1947578808556,2.1753946396725503,-166.6197768959871,5730.5442592504405
2019-06-04 01:00:00+02:00,calendar+lags,1983.561820985791,2364.531031298706,4.021544902012347,1752.4811114013241,6796.388596027537
2019-06-04 01:00:00+02:00,naive_last_week,5961.7797619047615,8625.274923499679,11.510731507378951,-1087.8154761904761,22045.0
2019-06-11 01:00:00+02:00,calendar,1133.9002471900258,1563.536906770602,2.1569956085630424,275.0546144253387,5808.757011083457
2019-06-11 01:00:00+02:00,calendar+lags,1355.0308951031552,1758.0773243235953,2.507348545937038,1094.8863817963966,5480.666175761238
2019-06-11 01:00:00+02:00,naive_last_week,3362.4583333333335,5959.098763855232,6.056270419522869,-1743.9583333333333,21811.0
2019-06-18 01:00:00+02:00,calendar,1670.9617447962544,2297.9186996328785,3.290824460934901,1139.400169312022,7528.048187732595
2019-06-18 01:00:00+02:00,calendar+lags,1671.5420037472727,2307.6394312256134,3.2417534699512176,1071.2501000885493,6846.975789214237
2019-06-18 01:00:00+02:00,naive_last_week,2836.964285714286,4147.91525519576,5.501553483374133,1553.5238095238096,12825.0
2019-06-25 01:00:00+02:00,calendar,1722.5342128437774,2020.6476747976114,3.089728070035351,-1576.5323067692395,4122.406831579014
2019-06-25 01:00:00+02:00,calendar+lags,1284.787531139365,1556.2213785779109,2.3047862656668445,-980.9748460964613,3365.7302044358075
2019-06-25 01:00:00+02:00,naive_last_week,3497.309523809524,4966.090652520111,6.071010286555286,-3462.309523809524,15669.0
2019-07-02 01:00:00+02:00,calendar,638.4741306280898,799.3955170553202,1.1326108733186881,426.3492141256737,2008.651615453069
2019-07-02 01:00:00+02:00,calendar+lags,964.3397376426193,1218.852638627539,1.747947539166027,833.5090461192466,2805.871683579753
2019-07-02 01:00:00+02:00,naive_last_week,1557.3511904761904,1924.6033867861117,2.8273129825010392,1338.8630952380952,4381.0
2019-07-09 01:00:00+02:00,calendar,720.6304679085946,899.9385483287326,1.3507322080800752,116.42273639392157,2885.2110746187827
2019-07-09 01:00:00+02:00,calendar+lags,940.1810157565285,1198.4369358357417,1.6696117789905824,751.7287527865576,3618.572378702316
2019-07-09 01:00:00+02:00,naive_last_week,1038.654761904762,1226.252090916134,1.9208332244300192,1023.3571428571429,3662.0
2019-07-16 01:00:00+02:00,calendar,660.8738296769416,798.7776464832846,1.2294543504501776,153.3720529472562,2078.459063145434
2019-07-16 01:00:00+02:00,calendar+lags,662.993918713418,806.5890405812485,1.2556331332504616,344.98512037983863,2165.221703533127
2019-07-16 01:00:00+02:00,naive_last_week,647.8095238095239,796.8382087678658,1.2572408814948335,279.2142857142857,2436.0
2019-07-23 01:00:00+02:00,calendar,934.1460825833336,1176.1463240418475,1.801045729197269,-154.33357022843126,2839.3532442514625
2019-07-23 01:00:00+02:00,calendar+lags,892.8677783381837,1117.7130876505557,1.733755157208983,346.3167188426009,2725.5446340294
2019-07-23 01:00:00+02:00,naive_last_week,1012.9583333333334,1223.4353832159513,1.9119688993581376,-680.1369047619048,3086.0
2019-07-30 01:00:00+02:00,calendar,1689.9681672362294,2014.0166914716187,3.4567870973189905,1531.3135812536882,4180.658112227182
2019-07-30 01:00:00+02:00,calendar+lags,2302.1139693509404,2562.281605241591,4.7288016031791855,2289.769813358314,4277.376476032441
2019-07-30 01:00:00+02:00,naive_last_week,2224.529761904762,2532.2568808701626,4.479399873122864,2127.1011904761904,4733.0
2019-08-06 01:00:00+02:00,calendar,1406.0127169976786,1695.3731670206641,2.631633013690007,1111.7960893184468,3602.235408815388
2019-08-06 01:00:00+02:00,calendar+lags,1320.1612107560175,1587.4899629181768,2.578265237923708,489.9864289276299,3375.727617156306
2019-08-06 01:00:00+02:00,naive_last_week,1548.797619047619,1801.8284265077596,3.0794009796723985,-91.19047619047619,3959.0
2019-08-13 01:00:00+02:00,calendar,1618.5236543357269,1874.1083073834457,3.190603002934514,1454.9198745068884,4285.0184864031835
2019-08-13 01:00:00+02:00,calendar+lags,1347.3459108202933,1640.5605560611364,2.7684127005083465,1086.2513158364816,3879.902031804777
2019-08-13 01:00:00+02:00,naive_last_week,1207.1369047619048,1556.746475597653,2.33884428790259,886.7916666666666,4899.0
2019-08-20 01:00:00+02:00,calendar,1432.8643137426495,1672.802190966465,2.7283816930221554,1408.9781635021648,3451.4710904258245
2019-08-20 01:00:00+02:00,calendar+lags,1269.6339571047083,1536.023877091679,2.399675623972849,1024.707158738888,3348.904314515792
2019-08-20 01:00:00+02:00,naive_last_week,1008.2083333333334,1273.3219559763463,1.9019662670606234,-842.0416666666666,3846.0
2019-08-27 01:00:00+02:00,calendar,1092.3787818485146,1428.093233187355,2.0789248646061225,175.05899822897763,4571.516316566231
2019-08-27 01:00:00+02:00,calendar+lags,1151.9941308060775,1415.229699117682,2.175342709716452,64.44489643526248,3780.716200228402
2019-08-27 01:00:00+02:00,naive_last_week,2479.6666666666665,2763.244187630943,4.501247462222101,-1648.0357142857142,5726.0
2019-09-03 01:00:00+02:00,calendar,1645.6971627449352,1795.1361215567306,3.2005789695315743,1642.8143077834768,3345.1029396250888
2019-09-03 01:00:00+02:00,calendar+lags,898.8297482390592,1088.7481908652085,1.8096947778553005,834.0198894930893,2856.847412353607
2019-09-03 01:00:00+02:00,naive_last_week,1602.702380952381,1974.2106349000303,3.06362910063669,1149.452380952381,4901.0
2019-09-10 01:00:00+02:00,calendar,1202.90280776835,1484.5941475618697,2.256806412897573,1060.2840860740048,3873.4736004358056
2019-09-10 01:00:00+02:00,calendar+lags,1484.3450279550568,1725.3121460150978,2.726923251671275,1417.7677668532244,3772.6274062297816
2019-09-10 01:00:00+02:00,naive_last_week,961.3333333333334,1225.2721223505919,1.7854520214965541,-816.2857142857143,3459.0
2019-09-17 01:00:00+02:00,calendar,1836.5169253780564,2194.0807161104044,3.4149038991784666,1619.7304920143035,4624.827677140565
2019-09-17 01:00:00+02:00,calendar+lags,1923.5879547395884,2362.90062810721,3.5285079701968023,1083.496562672103,6215.266160536863
2019-09-17 01:00:00+02:00,naive_last_week,1040.7916666666667,1303.8863862826904,1.8864512532231055,-24.232142857142858,4207.0
2019-09-24 01:00:00+02:00,calendar,813.2720752430802,1041.6661597615018,1.585180856540173,131.43463886074667,3125.7552907255667
2019-09-24 01:00:00+02:00,calendar+lags,1045.2971712301228,1360.9683416558287,1.9878064550608094,-514.21521722836,4468.585444865552
2019-09-24 01:00:00+02:00,naive_last_week,1609.0892857142858,1979.896640820761,2.8953059447080194,-1468.422619047619,5737.0
2019-10-01 01:00:00+02:00,calendar,1667.0967297789462,2335.310564989434,3.3260860905305165,1232.5937115698114,7920.603585704426
2019-10-01 01:00:00+02:00,calendar+lags,2083.1696550119514,2831.789094573277,4.1661662737632765,1588.413407246389,8903.437899209785
2019-10-01 01:00:00+02:00,naive_last_week,3487.125,5902.603957758208,7.117753038561305,2612.720238095238,20584.0
2019-10-08 01:00:00+02:00,calendar,637.907279371857,796.9686407970363,1.1764239421396798,0.33332605603456095,2221.1327747114265
2019-10-08 01:00:00+02:00,calendar+lags,903.3246425408033,1095.8588256987398,1.6612875806172422,-64.9082296328518,2894.173608119272
2019-10-08 01:00:00+02:00,naive_last_week,3898.595238095238,6434.157411443871,6.639379379543099,-3504.940476190476,21936.0
2019-10-15 01:00:00+02:00,calendar,853.6479670478641,1064.340049208631,1.5541476160149867,-10.474580340234882,2679.6755946521444
2019-10-15 01:00:00+02:00,calendar+lags,1267.4111583636038,1505.8647173573843,2.302305482883241,-14.735511159395607,3454.865355658614
2019-10-15 01:00:00+02:00,naive_last_week,930.172619047619,1176.719605412396,1.6292212731257159,-475.9345238095238,3742.0
2019-10-22 01:00:00+02:00,calendar,1169.0497671743947,1443.4336612962518,2.072073100950914,1074.9519683486965,4334.820971060486
2019-10-22 01:00:00+02:00,calendar+lags,1637.3891787572547,1934.2317584104303,2.8608120150297487,1561.5257363834746,5540.308592258923
2019-10-22 01:00:00+02:00,naive_last_week,1051.6369047619048,1492.0409140790055,1.9434481436216768,-313.7559523809524,7095.0
2019-10-29 00:00:00+01:00,calendar,969.3761093425412,1190.3308330917123,1.8599948088593423,554.1686625426174,3071.171729415946
2019-10-29 00:00:00+01:00,calendar+lags,1588.3133964496055,1926.2938126411598,3.058870768615032,1068.587577320601,4458.201074545148
2019-10-29 00:00:00+01:00,naive_last_week,3076.0535714285716,4581.289449255214,5.737260418401268,1652.577380952381,19267.0
2019-11-05 00:00:00+01:00,calendar,945.0886032673599,1146.536274602519,1.6533474915208135,-456.416593789584,2877.6033429269155
2019-11-05 00:00:00+01:00,calendar+lags,986.4019152536625,1195.5065446806357,1.7047097442503587,-363.92578949689886,3021.895017049719
2019-11-05 00:00:00+01:00,naive_last_week,3855.3333333333335,5247.969087906202,6.437448169341225,-3715.154761904762,17231.0
2019-11-12 00:00:00+01:00,calendar,1269.1541081430232,1618.8491833065814,2.2719236102144036,864.5220056307151,3676.5226129083385
