utc_timestamp,actual_mw,forecast_mw
2020-01-03 20:00:00+00:00,53806.0,60135.0
2020-01-03 21:00:00+00:00,52540.0,57169.0
2020-01-03 22:00:00+00:00,49359.0,54267.0
2020-01-03 23:00:00+00:00,46773.0,49758.0
2020-01-04 00:00:00+00:00,45003.0,47331.0
2020-01-04 01:00:00+00:00,44345.0,46689.0
2020-01-04 02:00:00+00:00,43801.0,46176.0
2020-01-04 03:00:00+00:00,44501.0,46654.0
2020-01-04 04:00:00+00:00,45049.0,46927.0
2020-01-04 05:00:00+00:00,46138.0,47919.0
2020-01-04 06:00:00+00:00,48876.0,50914.0
2020-01-04 07:00:00+00:00,51876.0,54094.0
2020-01-04 08:00:00+00:00,55337.0,56727.0
2020-01-04 09:00:00+00:00,57584.0,59686.0
2020-01-04 10:00:00+00:00,59443.0,61265.0
2020-01-04 11:00:00+00:00,59873.0,61032.0
2020-01-04 12:00:00+00:00,58499.0,59630.0
2020-01-04 13:00:00+00:00,57624.0,58236.0
2020-01-04 14:00:00+00:00,56651.0,58307.0
2020-01-04 15:00:00+00:00,58144.0,59370.0
2020-01-04 16:00:00+00:00,60436.0,62552.0
2020-01-04 17:00:00+00:00,59971.0,62337.0
2020-01-04 18:00:00+00:00,58093.0,59970.0
2020-01-04 19:00:00+00:00,54603.0,56152.0
2020-01-04 20:00:00+00:00,52028.0,54951.0
2020-01-04 21:00:00+00:00,50722.0,53269.0
2020-01-04 22:00:00+00:00,47994.0,50187.0
2020-01-04 23:00:00+00:00,44880.0,46232.0
2020-01-05 00:00:00+00:00,42638.0,44145.0
2020-01-05 01:00:00+00:00,41865.0,42621.0
2020-01-05 02:00:00+00:00,40752.0,42350.0
2020-01-05 03:00:00+00:00,40754.0,42618.0
2020-01-05 04:00:00+00:00,40409.0,42535.0
2020-01-05 05:00:00+00:00,39751.0,42291.0
2020-01-05 06:00:00+00:00,41953.0,43177.0
2020-01-05 07:00:00+00:00,43752.0,46826.0
2020-01-05 08:00:00+00:00,47044.0,50667.0
2020-01-05 09:00:00+00:00,50397.0,52875.0
2020-01-05 10:00:00+00:00,52744.0,55172.0
2020-01-05 11:00:00+00:00,52825.0,55470.0
2020-01-05 12:00:00+00:00,51568.0,54661.0
2020-01-05 13:00:00+00:00,50470.0,53594.0
2020-01-05 14:00:00+00:00,50177.0,52909.0
2020-01-05 15:00:00+00:00,51651.0,55054.0
2020-01-05 16:00:00+00:00,55601.0,57602.0
2020-01-05 17:00:00+00:00,56412.0,58681.0
2020-01-05 18:00:00+00:00,54808.0,57031.0
2020-01-05 19:00:00+00:00,52478.0,55570.0
2020-01-05 20:00:00+00:00,50972.0,53880.0
2020-01-05 21:00:00+00:00,50438.0,53429.0
2020-01-05 22:00:00+00:00,47398.0,50485.0
2020-01-05 23:00:00+00:00,45225.0,47073.0
2020-01-06 00:00:00+00:00,43646.0,44314.0
2020-01-06 01:00:00+00:00,42812.0,43756.0
2020-01-06 02:00:00+00:00,43212.0,44127.0
2020-01-06 03:00:00+00:00,44464.0,45756.0
2020-01-06 04:00:00+00:00,47111.0,48941.0
2020-01-06 05:00:00+00:00,51821.0,53391.0
2020-01-06 06:00:00+00:00,57075.0,59998.0
2020-01-06 07:00:00+00:00,59509.0,64083.0
2020-01-06 08:00:00+00:00,61130.0,65388.0
2020-01-06 09:00:00+00:00,62336.0,66791.0
2020-01-06 10:00:00+00:00,63191.0,67037.0
2020-01-06 11:00:00+00:00,63404.0,66793.0
2020-01-06 12:00:00+00:00,62372.0,66603.0
2020-01-06 13:00:00+00:00,61577.0,65894.0
2020-01-06 14:00:00+00:00,61264.0,65685.0
2020-01-06 15:00:00+00:00,62276.0,66267.0
2020-01-06 16:00:00+00:00,66018.0,67389.0
2020-01-06 17:00:00+00:00,66215.0,67558.0
2020-01-06 18:00:00+00:00,64831.0,66457.0
2020-01-06 19:00:00+00:00,61350.0,62918.0
2020-01-06 20:00:00+00:00,58821.0,58934.0
2020-01-06 21:00:00+00:00,56577.0,56239.0
2020-01-06 22:00:00+00:00,52904.0,53883.0
2020-01-06 23:00:00+00:00,50708.0,51588.0
2020-01-07 00:00:00+00:00,49617.0,48977.0
2020-01-07 01:00:00+00:00,48105.0,48804.0
2020-01-07 02:00:00+00:00,48553.0,49074.0
2020-01-07 03:00:00+00:00,50054.0,51219.0
2020-01-07 04:00:00+00:00,53241.0,54848.0
2020-01-07 05:00:00+00:00,60420.0,63491.0
2020-01-07 06:00:00+00:00,66527.0,69442.0
2020-01-07 07:00:00+00:00,69198.0,71095.0
2020-01-07 08:00:00+00:00,69408.0,71519.0
2020-01-07 09:00:00+00:00,69896.0,71632.0
2020-01-07 10:00:00+00:00,70089.0,71958.0
2020-01-07 11:00:00+00:00,69367.0,71876.0
2020-01-07 12:00:00+00:00,69465.0,71707.0
2020-01-07 13:00:00+00:00,68854.0,71221.0
2020-01-07 14:00:00+00:00,68089.0,71079.0
2020-01-07 15:00:00+00:00,68574.0,71181.0
2020-01-07 16:00:00+00:00,70914.0,73044.0
2020-01-07 17:00:00+00:00,70678.0,72320.0
2020-01-07 18:00:00+00:00,68990.0,71370.0
2020-01-07 19:00:00+00:00,65235.0,68359.0
2020-01-07 20:00:00+00:00,61997.0,64205.0
2020-01-07 21:00:00+00:00,59030.0,61009.0
2020-01-07 22:00:00+00:00,55343.0,58050.0
2020-01-07 23:00:00+00:00,52694.0,51215.0
