utc_timestamp,point
2020-01-03 21:00:00,48037.000
2020-01-03 22:00:00,45266.000
2020-01-03 23:00:00,42462.000
2020-01-04 00:00:00,40814.000
2020-01-04 01:00:00,40342.000
2020-01-04 02:00:00,40202.000
2020-01-04 03:00:00,40883.000
2020-01-04 04:00:00,41089.000
2020-01-04 05:00:00,41373.000
2020-01-04 06:00:00,43751.000
2020-01-04 07:00:00,46965.000
2020-01-04 08:00:00,50213.000
2020-01-04 09:00:00,50682.000
2020-01-04 10:00:00,51465.000
2020-01-04 11:00:00,51386.000
2020-01-04 12:00:00,50320.000
2020-01-04 13:00:00,49026.000
2020-01-04 14:00:00,49858.000
2020-01-04 15:00:00,52455.000
2020-01-04 16:00:00,55652.000
2020-01-04 17:00:00,55695.000
2020-01-04 18:00:00,54137.000
2020-01-04 19:00:00,51244.000
2020-01-04 20:00:00,49084.000
2020-01-04 21:00:00,47918.000
2020-01-04 22:00:00,44642.000
2020-01-04 23:00:00,42135.000
2020-01-05 00:00:00,40202.000
2020-01-05 01:00:00,40075.000
2020-01-05 02:00:00,39498.000
2020-01-05 03:00:00,39325.000
2020-01-05 04:00:00,39090.000
2020-01-05 05:00:00,38272.000
2020-01-05 06:00:00,39156.000
2020-01-05 07:00:00,41759.000
2020-01-05 08:00:00,44765.000
2020-01-05 09:00:00,46032.000
2020-01-05 10:00:00,48260.000
2020-01-05 11:00:00,49349.000
2020-01-05 12:00:00,47541.000
2020-01-05 13:00:00,46312.000
2020-01-05 14:00:00,46671.000
2020-01-05 15:00:00,49244.000
2020-01-05 16:00:00,52332.000
2020-01-05 17:00:00,52958.000
2020-01-05 18:00:00,51943.000
2020-01-05 19:00:00,49806.000
2020-01-05 20:00:00,48362.000
2020-01-05 21:00:00,47950.000
2020-01-05 22:00:00,45146.000
2020-01-05 23:00:00,43026.000
2020-01-06 00:00:00,41138.000
2020-01-06 01:00:00,40026.000
2020-01-06 02:00:00,40194.000
2020-01-06 03:00:00,41114.000
2020-01-06 04:00:00,42845.000
2020-01-06 05:00:00,45099.000
2020-01-06 06:00:00,48828.000
2020-01-06 07:00:00,51706.000
2020-01-06 08:00:00,53959.000
2020-01-06 09:00:00,53475.000
2020-01-06 10:00:00,53629.000
2020-01-06 11:00:00,54139.000
2020-01-06 12:00:00,52653.000
2020-01-06 13:00:00,52431.000
2020-01-06 14:00:00,52719.000
2020-01-06 15:00:00,54457.000
2020-01-06 16:00:00,58272.000
2020-01-06 17:00:00,58564.000
2020-01-06 18:00:00,56927.000
2020-01-06 19:00:00,53959.000
2020-01-06 20:00:00,51937.000
2020-01-06 21:00:00,50574.000
2020-01-06 22:00:00,47382.000
2020-01-06 23:00:00,44018.000
2020-01-07 00:00:00,42023.000
2020-01-07 01:00:00,40856.000
2020-01-07 02:00:00,40388.000
2020-01-07 03:00:00,40835.000
2020-01-07 04:00:00,41447.000
2020-01-07 05:00:00,41596.000
2020-01-07 06:00:00,44124.000
2020-01-07 07:00:00,46802.000
2020-01-07 08:00:00,49456.000
2020-01-07 09:00:00,50937.000
2020-01-07 10:00:00,52026.000
2020-01-07 11:00:00,52394.000
2020-01-07 12:00:00,50637.000
2020-01-07 13:00:00,49459.000
2020-01-07 14:00:00,49378.000
2020-01-07 15:00:00,51219.000
2020-01-07 16:00:00,53428.000
2020-01-07 17:00:00,52637.000
2020-01-07 18:00:00,50151.000
2020-01-07 19:00:00,47493.000
2020-01-07 20:00:00,45842.000
2020-01-07 21:00:00,45501.000
2020-01-07 22:00:00,43969.000
2020-01-07 23:00:00,42335.000
