ds,yearly
2019-03-09,2630.0388976526533
2019-03-10,2480.454282044036
2019-03-11,2329.7811666113366
2019-03-12,2180.0714449855536
2019-03-13,2033.1632451404575
2019-03-14,1890.6277639317943
2019-03-15,1753.7267260055753
2019-03-16,1623.3815871969352
2019-03-17,1500.155216051035
2019-03-18,1384.24638444516
2019-03-19,1275.4969917988499
2019-03-20,1173.4115491572431
2019-03-21,1077.1880714093588
2019-03-22,985.7591791550677
2019-03-23,897.8419062626211
2019-03-24,811.9944537588133
2019-03-25,726.6779323788112
2019-03-26,640.3210003817145
2019-03-27,551.3852333392323
2019-03-28,458.42906022876645
2019-03-29,360.16816443831357
2019-03-30,255.5303768738793
2019-03-31,143.70327662288997
2019-04-01,24.17295643600305
2019-04-02,-103.24730220930876
2019-04-03,-238.3993754619694
2019-04-04,-380.77424516065895
2019-04-05,-529.5177623449013
2019-04-06,-683.4480689755172
2019-04-07,-841.0841562547987
2019-04-08,-1000.6846913873633
2019-04-09,-1160.2959260638802
2019-04-10,-1317.8072189900743
2019-04-11,-1471.012469633953
2019-04-12,-1617.6755778803301
2019-04-13,-1755.5979197381307
2019-04-14,-1882.685766066015
2019-04-15,-1997.0155711358495
2019-04-16,-2096.8951203964807
2019-04-17,-2180.91864996465
2019-04-18,-2248.0142301402407
2019-04-19,-2297.4819360413535
2019-04-20,-2329.0216031504347
2019-04-21,-2342.74927579793
2019-04-22,-2339.2017929605063
2019-04-23,-2319.3293080979092
2019-04-24,-2284.4758975268005
2019-04-25,-2236.348764396092
2019-04-26,-2176.976882161065
2019-04-27,-2108.66023269133
2019-04-28,-2033.9110705438156
2019-04-29,-1955.3888785602621
2019-04-30,-1875.8308639082795
2019-05-01,-1797.9799728428516
2019-05-02,-1724.5124731565015
2019-05-03,-1657.9671636712021
2019-05-04,-1600.678220153291
2019-05-05,-1554.7135784142388
2019-05-06,-1521.8205915728195
2019-05-07,-1503.3804845247694
2019-05-08,-1500.3728711531426
2019-05-09,-1513.3513064803017
2019-05-10,-1542.4305255836628
2019-05-11,-1587.285683255316
2019-05-12,-1647.1635630424892
2019-05-13,-1720.905381706005
2019-05-14,-1806.9804852068519
2019-05-15,-1903.529924825075
2019-05-16,-2008.4186256858093
2019-05-17,-2119.2946228226615
2019-05-18,-2233.653648629451
2019-05-19,-2348.907215434486
2019-05-20,-2462.4522518385616
2019-05-21,-2571.7403233623218
2019-05-22,-2674.344497471932
2019-05-23,-2768.0219987542273
2019-05-24,-2850.7709390456407
2019-05-25,-2920.8795952213195
2019-05-26,-2976.9669381073254
2019-05-27,-3018.0133826391593
2019-05-28,-3043.381023597773
2019-05-29,-3052.8229343319604
2019-05-30,-3046.4814282161897
2019-05-31,-3024.8755047608015
2019-06-01,-2988.8780146420204
2019-06-02,-2939.6833713579113
2019-06-03,-2878.7669031487308
2019-06-04,-2807.8371696517775
2019-06-05,-2728.782756866473
2019-06-06,-2643.6152062130805
2019-06-07,-2554.409824879472
2019-06-08,-2463.2461630342104
2019-06-09,-2372.1499281810893
2019-06-10,-2283.0380388426747
2019-06-11,-2197.6684014399993
2019-06-12,-2117.595829653433
2019-06-13,-2044.1353201188494
2019-06-14,-1978.333658493335
2019-06-15,-1920.9500633521573
2019-06-16,-1872.4462902128269
2019-06-17,-1832.9863231560312
2019-06-18,-1802.4454858126971
2019-06-19,-1780.4285161289629
2019-06-20,-1766.2958787048944
2019-06-21,-1759.19734289908
2019-06-22,-1758.1116414100316
2019-06-23,-1761.890849036875
2019-06-24,-1769.3079897139485
2019-06-25,-1779.106295453623
2019-06-26,-1790.0485056680525
2019-06-27,-1800.9646102398335
2019-06-28,-1810.796503788282
2019-06-29,-1818.638129548247
2019-06-30,-1823.7698454106992
2019-07-01,-1825.6859369320264
2019-07-02,-1824.1144263597607
2019-07-03,-1819.0285758584903
2019-07-04,-1810.6497493285087
2019-07-05,-1799.4415722220333
2019-07-06,-1786.0956040750873
2019-07-07,-1771.5090055943556
2019-07-08,-1756.7549329498634
2019-07-09,-1743.0466187375553
2019-07-10,-1731.6962951115283
2019-07-11,-1724.0702738980387
2019-07-12,-1721.5416164376984
2019-07-13,-1725.44189898778
2019-07-14,-1737.013605744225
2019-07-15,-1757.3646602756608
2019-07-16,-1787.4265383433524
2019-07-17,-1827.9172928775583
2019-07-18,-1879.3106690639877
2019-07-19,-1941.8122988014086
2019-07-20,-2015.3437452438382
2019-07-21,-2099.534926525381
2019-07-22,-2193.7251905955313
2019-07-23,-2296.9730483220096
2019-07-24,-2408.0743077649886
2019-07-25,-2525.5880969316922
2019-07-26,-2647.8700231082457
2019-07-27,-2773.111501384034
2019-07-28,-2899.3840996367567
2019-07-29,-3024.6875976531087
2019-07-30,-3147.000348622051
2019-07-31,-3264.330465119434
2019-08-01,-3374.766330778484
2019-08-02,-3476.524963502463
2019-08-03,-3567.996825413604
2019-08-04,-3647.785786386367
2019-08-05,-3714.743098381162
2019-08-06,-3767.994422098167
2019-08-07,-3806.95915987722
2019-08-08,-3831.361582671821
2019-08-09,-3841.233487007219
2019-08-10,-3836.9083724332
2019-08-11,-3819.007383293582
2019-08-12,-3788.417502784783
2019-08-13,-3746.262715000508
2019-08-14,-3693.8690548247673
2019-08-15,-3632.724640236636
2019-08-16,-3564.4359214203146
2019-08-17,-3490.6814821138
2019-08-18,-3413.1647878682684
2019-08-19,-3333.567291849274
2019-08-20,-3253.503281284002
2019-08-21,-3174.477777722358
2019-08-22,-3097.848694490995
2019-08-23,-3024.7943086822065
2019-08-24,-2956.2869276297624
2019-08-25,-2893.073426745047
2019-08-26,-2835.66311345115
2019-08-27,-2784.3231378245064
2019-08-28,-2739.0814318626026
2019-08-29,-2699.7369236656123
2019-08-30,-2665.876547602504
2019-08-31,-2636.8983638529216
2019-09-01,-2612.039917017853
2019-09-02,-2590.410809476583
2019-09-03,-2571.0283455673875
2019-09-04,-2552.8550210610742
2019-09-05,-2534.836591216376
2019-09-06,-2515.939450962218
2019-09-07,-2495.186102281499
2019-09-08,-2471.6875649933277
2019-09-09,-2444.6717051211276
2019-09-10,-2413.5066057352333
2019-09-11,-2377.7182836280344
2019-09-12,-2337.002255310599
2019-09-13,-2291.2286710979747
2019-09-14,-2240.440959186638
2019-09-15,-2184.8481453528266
2019-09-16,-2124.8112306840662
2019-09-17,-2060.8242124958883
2019-09-18,-1993.4905155039698
2019-09-19,-1923.4957553295474
2019-09-20,-1851.5778794032324
2019-09-21,-1778.495817054803
2019-09-22,-1704.9978181492975
2019-09-23,-1631.7906663162203
2019-09-24,-1559.5109183113204
2019-09-25,-1488.6992463629865
2019-09-26,-1419.778847818671
2019-09-27,-1353.0387397092634
2019-09-28,-1288.6225796940282
2019-09-29,-1226.5234550969735
2019-09-30,-1166.5848649913655
2019-10-01,-1108.5078937704975
2019-10-02,-1051.8643460218505
2019-10-03,-996.1153895628337
2019-10-04,-940.635043895714
2019-10-05,-884.7376623750503
2019-10-06,-827.7083948881648
2019-10-07,-768.8354895518797
2019-10-08,-707.4432019180006
2019-10-09,-642.9240319511069
2019-10-10,-574.7690050987503
2019-10-11,-502.5947549263212
2019-10-12,-426.16625059269273
2019-10-13,-345.4141408268761
2019-10-14,-260.4458535465122
2019-10-15,-171.54979215030056
2019-10-16,-79.19219962467992
2019-10-17,15.99348694586451
2019-10-18,113.22470410697163
2019-10-19,211.59489498890488
2019-10-20,310.1050847359715
2019-10-21,407.70102281458406
2019-10-22,503.31478517614664
2019-10-23,595.9095275834918
2019-10-24,684.5259167684145
2019-10-25,768.3286449669815
2019-10-26,846.6513609167654
2019-10-27,919.0383303325199
2019-10-28,985.281173454937
2019-10-29,1045.4491169475211
2019-10-30,1099.911341061606
2019-10-31,1149.3501977185028
2019-11-01,1194.764316324282
2019-11-02,1237.4608957829917
2019-11-03,1279.0367955944746
2019-11-04,1321.348377599269
2019-11-05,1366.4704030263833
2019-11-06,1416.6446467410767
2019-11-07,1474.2192411577025
2019-11-08,1541.580095369977
2019-11-09,1621.0760400244553
2019-11-10,1714.939615331634
2019-11-11,1825.205639185212
2019-11-12,1953.6298566689227
2019-11-13,2101.610074727023
2019-11-14,2270.112221539713
2019-11-15,2459.6037361177373
2019-11-16,2669.9965886808036
2019-11-17,2900.602057496609
2019-11-18,3150.0991458973467
2019-11-19,3416.518219275178
2019-11-20,3697.2410827409763
2019-11-21,3989.0183145499027
2019-11-22,4288.0042284235
2019-11-23,4589.809371023741
2019-11-24,4889.569981421933
2019-11-25,5182.033360517651
2019-11-26,5461.657633242001
2019-11-27,5722.723948386532
2019-11-28,5959.458762572976
2019-11-29,6166.163508355223
2019-11-30,6337.348662249461
2019-12-01,6467.869016023409
2019-12-02,6553.056821111646
2019-12-03,6588.8494270820265
2019-12-04,6571.9080738239245
2019-12-05,6499.7246243608615
2019-12-06,6370.713239503774
2019-12-07,6184.284292893125
2019-12-08,5940.898199193914
2019-12-09,5642.09727082662
2019-12-10,5290.514219276031
2019-12-11,4889.856463530214
2019-12-12,4444.865987104344
2019-12-13,3961.255081716654
2019-12-14,3445.6189147101213
2019-12-15,2905.3264432589203
2019-12-16,2348.391755692876
2019-12-17,1783.3284342076154
2019-12-18,1218.9899897134078
2019-12-19,664.399806215373
2019-12-20,128.57433799483462
2019-12-21,-379.65648094014614
2019-12-22,-851.8275355633734
2019-12-23,-1280.0114373381716
2019-12-24,-1656.9820232303714
2019-12-25,-1976.364611554964
2019-12-26,-2232.7694595926737
2019-12-27,-2421.9052379502673
2019-12-28,-2540.6697884915243
2019-12-29,-2587.2159552902435
2019-12-30,-2560.9908586104334
2019-12-31,-2462.747605964133
