ds,trend
2015-03-16,54823.45508290234
2015-03-17,54823.20421508146
2015-03-18,54822.95334726059
2015-03-19,54822.70247943971
2015-03-20,54822.45161161883
2015-03-21,54822.20074379795
2015-03-22,54821.949875977065
2015-03-23,54821.699008156196
2015-03-24,54821.44814033531
2015-03-25,54821.19727251443
2015-03-26,54820.94640469355
2015-03-27,54820.69553687267
2015-03-28,54820.444669051794
2015-03-29,54820.19380123092
2015-03-30,54819.942933410035
2015-03-31,54819.69206558915
2015-04-01,54819.441197768276
2015-04-02,54819.19032994739
2015-04-03,54818.93946212652
2015-04-04,54818.68859430564
2015-04-05,54818.43772648476
2015-04-06,54818.186858663874
2015-04-07,54817.935990843
2015-04-08,54817.68512302212
2015-04-09,54817.43425520124
2015-04-10,54817.18338738036
2015-04-11,54816.93251955948
2015-04-12,54816.681651738596
2015-04-13,54816.43078391773
2015-04-14,54816.179916096844
2015-04-15,54815.92904827596
2015-04-16,54815.678180455085
2015-04-17,54815.4273126342
2015-04-18,54815.176444813325
2015-04-19,54814.92557699245
2015-04-20,54814.674709171566
2015-04-21,54814.42384135068
2015-04-22,54814.17297352981
2015-04-23,54813.92210570893
2015-04-24,54813.67123788805
2015-04-25,54813.42037006717
2015-04-26,54813.16950224629
2015-04-27,54812.918634425405
2015-04-28,54813.33939905806
2015-04-29,54818.46159086541
2015-04-30,54823.58378267276
2015-05-01,54828.7059744801
2015-05-02,54833.82816628746
2015-05-03,54838.9503580948
2015-05-04,54844.07254990215
2015-05-05,54849.1947417095
2015-05-06,54854.31693351685
2015-05-07,54859.43912532419
2015-05-08,54864.56131713155
2015-05-09,54869.68350893889
2015-05-10,54874.80570074625
2015-05-11,54879.92789255359
2015-05-12,54885.05008436094
2015-05-13,54890.17227616829
2015-05-14,54895.29446797564
2015-05-15,54900.41665978298
2015-05-16,54905.53885159034
2015-05-17,54910.66104339768
2015-05-18,54915.78323520503
2015-05-19,54920.90542701238
2015-05-20,54926.02761881973
2015-05-21,54931.149810627074
2015-05-22,54936.27200243443
2015-05-23,54941.39419424177
2015-05-24,54946.51638604912
2015-05-25,54951.63857785647
2015-05-26,54956.76076966382
2015-05-27,54961.882961471165
2015-05-28,54967.00515327852
2015-05-29,54972.127345085864
2015-05-30,54977.24953689322
2015-05-31,54982.371728700564
2015-06-01,54987.49392050791
2015-06-02,54992.61611231526
2015-06-03,54997.73830412261
2015-06-04,55002.860495929956
2015-06-05,55007.98268773731
2015-06-06,55013.104879544655
2015-06-07,55018.227071352005
2015-06-08,55023.349263159354
2015-06-09,55028.471454966704
2015-06-10,55033.59364677405
2015-06-11,55038.715838581404
2015-06-12,55043.838030388746
2015-06-13,55048.9602221961
2015-06-14,55054.082414003446
2015-06-15,55059.204605810795
2015-06-16,55064.326797618145
2015-06-17,55069.448989425495
2015-06-18,55074.57118123284
2015-06-19,55079.693373040194
2015-06-20,55084.81556484754
2015-06-21,55089.93775665489
2015-06-22,55095.059948462236
2015-06-23,55100.182140269586
2015-06-24,55105.30433207693
2015-06-25,55110.426523884285
2015-06-26,55123.07031401194
2015-06-27,55138.81123285973
2015-06-28,55154.55215170751
2015-06-29,55170.29307055529
2015-06-30,55186.03398940309
2015-07-01,55201.774908250874
2015-07-02,55217.51582709866
2015-07-03,55233.25674594644
2015-07-04,55248.99766479424
2015-07-05,55264.73858364202
2015-07-06,55280.479502489805
2015-07-07,55296.220421337595
2015-07-08,55311.96134018538
2015-07-09,55327.70225903317
2015-07-10,55343.44317788096
2015-07-11,55359.18409672874
2015-07-12,55374.925015576526
2015-07-13,55390.66593442431
2015-07-14,55406.40685327211
