utc_timestamp,forecast_DE_load_actual_entsoe_transparency_MW
2020-01-03T11:00:00+00:00,62912.8
2020-01-03T12:00:00+00:00,61535.1
2020-01-03T13:00:00+00:00,60316.7
2020-01-03T14:00:00+00:00,59871.3
2020-01-03T15:00:00+00:00,61283.6
2020-01-03T16:00:00+00:00,63371.0
2020-01-03T17:00:00+00:00,62678.5
2020-01-03T18:00:00+00:00,60500.0
2020-01-03T19:00:00+00:00,56945.6
2020-01-03T20:00:00+00:00,54473.1
2020-01-03T21:00:00+00:00,52708.0
2020-01-03T22:00:00+00:00,49315.9
2020-01-03T23:00:00+00:00,46198.2
2020-01-04T00:00:00+00:00,43803.0
2020-01-04T01:00:00+00:00,42900.2
2020-01-04T02:00:00+00:00,42612.9
2020-01-04T03:00:00+00:00,43101.6
2020-01-04T04:00:00+00:00,43666.6
2020-01-04T05:00:00+00:00,44824.1
2020-01-04T06:00:00+00:00,47901.6
2020-01-04T07:00:00+00:00,51544.3
2020-01-04T08:00:00+00:00,54650.8
2020-01-04T09:00:00+00:00,55596.5
2020-01-04T10:00:00+00:00,56274.5
2020-01-04T11:00:00+00:00,56303.4
2020-01-04T12:00:00+00:00,54927.5
2020-01-04T13:00:00+00:00,53656.3
2020-01-04T14:00:00+00:00,53990.2
2020-01-04T15:00:00+00:00,55978.2
2020-01-04T16:00:00+00:00,58704.6
2020-01-04T17:00:00+00:00,58561.5
2020-01-04T18:00:00+00:00,56652.7
2020-01-04T19:00:00+00:00,53611.7
2020-01-04T20:00:00+00:00,51427.3
2020-01-04T21:00:00+00:00,50145.8
2020-01-04T22:00:00+00:00,47031.3
2020-01-04T23:00:00+00:00,44388.3
2020-01-05T00:00:00+00:00,42100.8
2020-01-05T01:00:00+00:00,41590.2
2020-01-05T02:00:00+00:00,41122.6
2020-01-05T03:00:00+00:00,41471.9
2020-01-05T04:00:00+00:00,41614.6
2020-01-05T05:00:00+00:00,41664.4
2020-01-05T06:00:00+00:00,43459.0
2020-01-05T07:00:00+00:00,46775.2
2020-01-05T08:00:00+00:00,49969.4
2020-01-05T09:00:00+00:00,51663.8
2020-01-05T10:00:00+00:00,53781.2
2020-01-05T11:00:00+00:00,54404.2
2020-01-05T12:00:00+00:00,52847.5
2020-01-05T13:00:00+00:00,51563.1
2020-01-05T14:00:00+00:00,51716.6
2020-01-05T15:00:00+00:00,54049.4
2020-01-05T16:00:00+00:00,56913.7
2020-01-05T17:00:00+00:00,57436.9
2020-01-05T18:00:00+00:00,56117.6
2020-01-05T19:00:00+00:00,53858.7
2020-01-05T20:00:00+00:00,52209.0
2020-01-05T21:00:00+00:00,51447.6
2020-01-05T22:00:00+00:00,48252.0
2020-01-05T23:00:00+00:00,45804.0
2020-01-06T00:00:00+00:00,45417.4
2020-01-06T01:00:00+00:00,44597.5
2020-01-06T02:00:00+00:00,44792.8
2020-01-06T03:00:00+00:00,46328.7
2020-01-06T04:00:00+00:00,49137.0
2020-01-06T05:00:00+00:00,52948.5
2020-01-06T06:00:00+00:00,57295.0
2020-01-06T07:00:00+00:00,60355.9
2020-01-06T08:00:00+00:00,62409.9
2020-01-06T09:00:00+00:00,63047.1
2020-01-06T10:00:00+00:00,64232.1
2020-01-06T11:00:00+00:00,64830.8
2020-01-06T12:00:00+00:00,63565.8
2020-01-06T13:00:00+00:00,62795.0
2020-01-06T14:00:00+00:00,62582.9
2020-01-06T15:00:00+00:00,64090.8
2020-01-06T16:00:00+00:00,67046.1
2020-01-06T17:00:00+00:00,67090.0
2020-01-06T18:00:00+00:00,65195.0
2020-01-06T19:00:00+00:00,61768.0
2020-01-06T20:00:00+00:00,58984.7
2020-01-06T21:00:00+00:00,57084.8
2020-01-06T22:00:00+00:00,53019.4
2020-01-06T23:00:00+00:00,49462.0
2020-01-07T00:00:00+00:00,47413.3
2020-01-07T01:00:00+00:00,46623.4
2020-01-07T02:00:00+00:00,46607.3
2020-01-07T03:00:00+00:00,47683.0
2020-01-07T04:00:00+00:00,49364.4
2020-01-07T05:00:00+00:00,51629.5
2020-01-07T06:00:00+00:00,55249.8
2020-01-07T07:00:00+00:00,58327.0
2020-01-07T08:00:00+00:00,60797.0
2020-01-07T09:00:00+00:00,62421.7
2020-01-07T10:00:00+00:00,63482.1
2020-01-07T11:00:00+00:00,63454.0
2020-01-07T12:00:00+00:00,61981.7
2020-01-07T13:00:00+00:00,60649.1
2020-01-07T14:00:00+00:00,60078.3
2020-01-07T15:00:00+00:00,61602.9
2020-01-07T16:00:00+00:00,64103.1
2020-01-07T17:00:00+00:00,63440.6
2020-01-07T18:00:00+00:00,60856.5
2020-01-07T19:00:00+00:00,57700.1
2020-01-07T20:00:00+00:00,55568.8
2020-01-07T21:00:00+00:00,54149.7
2020-01-07T22:00:00+00:00,51213.7
2020-01-07T23:00:00+00:00,48490.7
